"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Trim54"	2.51681597523998e-11	-0.556299904688608	0.424	0.333	5.03363195047995e-08	"0"	"Trim54"
"H2-Ab1"	5.25744390802841e-11	-1.79694565950818	0.477	0.381	1.05148878160568e-07	"0"	"H2-Ab1"
"Pf4"	5.9992687480453e-11	-0.634464177919013	0.352	0.207	1.19985374960906e-07	"0"	"Pf4"
"Cd74"	6.35417296969948e-11	-2.7781987801319	0.422	0.242	1.2708345939399e-07	"0"	"Cd74"
"Chad"	1.08034171744533e-10	-0.94599737828843	0.404	0.316	2.16068343489066e-07	"0"	"Chad"
"Smpx"	1.19361072142758e-10	-0.75000039820419	0.479	0.38	2.38722144285516e-07	"0"	"Smpx"
"Pgam2"	2.76525708399175e-10	-1.99930742032075	0.738	0.585	5.53051416798349e-07	"0"	"Pgam2"
"Esam"	4.31842755276593e-10	-1.31336875425009	0.72	0.72	8.63685510553187e-07	"0"	"Esam"
"Fn1"	5.21198121990436e-10	-0.618400409271556	0.694	0.471	1.04239624398087e-06	"0"	"Fn1"
"Fam101b"	2.81543598815553e-09	-0.813711219508317	0.635	0.471	5.63087197631106e-06	"0"	"Fam101b"
"Rgs5"	4.87083602266279e-09	-1.67005444018457	0.714	0.578	9.74167204532557e-06	"0"	"Rgs5"
"Aqp7"	1.05402097085157e-08	-0.918673212131296	0.671	0.53	2.10804194170314e-05	"0"	"Aqp7"
"Pltp"	3.91718076570309e-08	-0.771548562718106	0.673	0.627	7.83436153140619e-05	"0"	"Pltp"
"Cav1"	5.44078748522433e-08	-1.1999957015655	0.814	0.803	0.000108815749704487	"0"	"Cav1"
"Mdh1"	1.48241553068692e-07	-0.548347591724718	0.719	0.62	0.000296483106137385	"0"	"Mdh1"
"Gpihbp1"	2.42474387824556e-07	-1.68626782346943	0.744	0.735	0.000484948775649112	"0"	"Gpihbp1"
"Scarb1"	2.47104453326532e-07	-0.621197882741351	0.646	0.509	0.000494208906653065	"0"	"Scarb1"
"Tuba4a"	1.0358667904666e-06	-0.850131067805469	0.714	0.506	0.00207173358093319	"0"	"Tuba4a"
"Car3"	1.10971684817374e-06	-2.25785296669452	0.712	0.55	0.00221943369634748	"0"	"Car3"
"Ctla2a"	1.4045643771279e-06	-0.921001482830753	0.716	0.602	0.0028091287542558	"0"	"Ctla2a"
"Cystm1"	1.62868140204748e-06	-0.547091552347243	0.575	0.484	0.00325736280409496	"0"	"Cystm1"
"Chchd10"	1.67141741278389e-06	-1.74738971451234	0.695	0.557	0.00334283482556778	"0"	"Chchd10"
"Egfl7"	1.86781140843248e-06	-1.46524367305298	0.738	0.729	0.00373562281686497	"0"	"Egfl7"
"Mybpc2"	5.31602896432879e-06	-0.883771319500914	0.569	0.371	0.0106320579286576	"0"	"Mybpc2"
"Bcam"	5.76327081867811e-06	-0.809715213383777	0.698	0.58	0.0115265416373562	"0"	"Bcam"
"Ppp1r27"	6.10182240466624e-06	-0.504759031571523	0.507	0.337	0.0122036448093325	"0"	"Ppp1r27"
"Myoz1"	1.32400631020993e-05	-1.68731107283953	0.678	0.526	0.0264801262041985	"0"	"Myoz1"
"Adgrf5"	2.14230819606978e-05	-0.8618222999058	0.714	0.622	0.0428461639213956	"0"	"Adgrf5"
"Kdr"	2.32755312683149e-05	-0.890300886757166	0.714	0.611	0.0465510625366299	"0"	"Kdr"
"Pfkm"	3.95833574958077e-05	-0.867933980856532	0.659	0.461	0.0791667149916155	"0"	"Pfkm"
"Cyyr1"	0.000134993402984595	-0.622747659677679	0.658	0.541	0.269986805969191	"0"	"Cyyr1"
"Adssl1"	0.000145126757173494	-1.02147228396674	0.603	0.457	0.290253514346988	"0"	"Adssl1"
"Rasip1"	0.000159994468630446	-0.660477115050596	0.641	0.557	0.319988937260892	"0"	"Rasip1"
"Csrp3"	0.000160944207512703	-0.990725792323111	0.592	0.414	0.321888415025406	"0"	"Csrp3"
"Nrp1"	0.000237644938614472	-0.637640805873879	0.7	0.659	0.475289877228945	"0"	"Nrp1"
"C1qtnf9"	0.000502387030829744	-1.23882207180783	0.722	0.697	1	"0"	"C1qtnf9"
"Tm4sf1"	0.000541301636302144	-0.637132405543821	0.81	0.756	1	"0"	"Tm4sf1"
"Rbp7"	0.000633573053835667	-1.12111692050984	0.714	0.604	1	"0"	"Rbp7"
"Timp4"	0.00121702901822451	-1.23847343141854	0.725	0.668	1	"0"	"Timp4"
"1500015O10Rik"	0.00170930391239232	-0.578292924052457	0.259	0.25	1	"0"	"1500015O10Rik"
"Cdh5"	0.00183210326888575	-1.24383065621603	0.717	0.702	1	"0"	"Cdh5"
"Kitl"	0.00218023434836097	-0.63186804646561	0.542	0.44	1	"0"	"Kitl"
"Epas1"	0.0023502237974582	-0.731058783977731	0.561	0.507	1	"0"	"Epas1"
"Pecam1"	0.0029587290811862	-1.07707887401269	0.736	0.707	1	"0"	"Pecam1"
"Actn3"	0.00321767086909126	-1.62922975978373	0.679	0.511	1	"0"	"Actn3"
"Slc6a6"	0.00334393883173652	-0.557879022395407	0.504	0.399	1	"0"	"Slc6a6"
"Tinagl1"	0.00335887558970514	-0.925649042055541	0.705	0.626	1	"0"	"Tinagl1"
"Hspb7"	0.00464696214629138	-0.680034923655023	0.507	0.386	1	"0"	"Hspb7"
"Mmrn2"	0.00509112261247162	-0.581016232983342	0.611	0.496	1	"0"	"Mmrn2"
"Cox7a1"	0.00582957581540811	-1.53127222022092	0.654	0.512	1	"0"	"Cox7a1"
"Cdc42ep3"	0.00683207195809519	-0.606953690962039	0.619	0.459	1	"0"	"Cdc42ep3"
"2310040G24Rik"	0.00973902081457823	-0.661672246382462	0.569	0.43	1	"0"	"2310040G24Rik"
"Thy1.1"	0	-0.830114217436332	0.016	0.602	0	"1"	"Thy1"
"Prss23.1"	0	-0.891000423418326	0.079	0.692	0	"1"	"Prss23"
"Fbln1"	0	-0.981528623378543	0.027	0.691	0	"1"	"Fbln1"
"Abi3bp.1"	0	-1.00842704857029	0.014	0.635	0	"1"	"Abi3bp"
"Emp1.1"	0	-1.01085541404038	0.146	0.76	0	"1"	"Emp1"
"Tgfbi.1"	0	-1.1115444592368	0.013	0.622	0	"1"	"Tgfbi"
"Prelp.1"	0	-1.1423147137116	0.044	0.65	0	"1"	"Prelp"
"Abca8a.1"	0	-1.20566702765092	0.019	0.672	0	"1"	"Abca8a"
"Efemp1"	0	-1.22167743223582	0.028	0.644	0	"1"	"Efemp1"
